True_Label,Predicted_Label,Probability_<=50K,Probability_>50K,Correct
>50K,>50K,0.06522383998004706,0.934776160019953,1
<=50K,<=50K,0.9995245249750857,0.00047547502491437254,1
<=50K,>50K,0.01660742844650147,0.9833925715534986,0
>50K,>50K,0.09837111464250702,0.9016288853574931,1
<=50K,<=50K,0.9993185884215138,0.0006814115784861166,1
<=50K,<=50K,0.9906615322756152,0.009338467724384937,1
>50K,>50K,0.14792948077286885,0.8520705192271311,1
<=50K,<=50K,0.9670164901425465,0.03298350985745343,1
<=50K,>50K,0.310248447295892,0.689751552704108,0
<=50K,<=50K,0.9999800104845201,1.99895154797872e-05,1
<=50K,<=50K,0.9420629943970176,0.05793700560298249,1
<=50K,<=50K,0.9999930189401202,6.981059879820982e-06,1
<=50K,<=50K,0.9998380850296811,0.0001619149703189386,1
<=50K,<=50K,0.9992915395343259,0.0007084604656741709,1
<=50K,>50K,0.4104154016040345,0.5895845983959656,0
<=50K,<=50K,0.5954595037393542,0.40454049626064575,1
>50K,>50K,0.24858378887234794,0.751416211127652,1
>50K,<=50K,0.6119178920526002,0.38808210794739983,0
>50K,>50K,0.028561116187127054,0.971438883812873,1
>50K,>50K,0.06315711874336813,0.9368428812566318,1
>50K,>50K,0.10723931747244282,0.8927606825275572,1
<=50K,>50K,0.08319628277663076,0.9168037172233692,0
<=50K,<=50K,0.9940599495868538,0.005940050413146232,1
<=50K,>50K,0.04329608324155341,0.9567039167584466,0
<=50K,<=50K,0.999132703515444,0.0008672964845559324,1
<=50K,<=50K,0.9845690131601949,0.015430986839805273,1
>50K,<=50K,0.8484916478709659,0.15150835212903427,0
<=50K,<=50K,0.9448755463841616,0.055124453615838516,1
<=50K,>50K,0.30167531032414296,0.698324689675857,0
<=50K,<=50K,0.9957772068099852,0.004222793190014992,1
<=50K,<=50K,0.9996603271355832,0.0003396728644168257,1
>50K,<=50K,0.5992859976302987,0.4007140023697013,0
>50K,<=50K,0.9812860612970542,0.018713938702945902,0
<=50K,<=50K,0.9976342983044556,0.0023657016955445243,1
<=50K,<=50K,0.9931346420202516,0.0068653579797485565,1
>50K,>50K,0.010989742584204019,0.9890102574157961,1
<=50K,<=50K,0.989031898603912,0.010968101396088037,1
<=50K,<=50K,0.9720944722648596,0.027905527735140385,1
<=50K,<=50K,0.9979193198211216,0.0020806801788782942,1
>50K,>50K,0.46183415609107875,0.5381658439089212,1
<=50K,<=50K,0.8614430103555544,0.13855698964444568,1
<=50K,<=50K,0.9989208046392271,0.0010791953607730991,1
<=50K,<=50K,0.9998362574187716,0.00016374258122840862,1
<=50K,<=50K,0.9956235368124603,0.004376463187539639,1
<=50K,<=50K,0.8394981298970583,0.16050187010294156,1
<=50K,<=50K,0.9890679328353658,0.010932067164634263,1
<=50K,<=50K,0.9988733403505867,0.0011266596494131818,1
<=50K,<=50K,0.9975571530848636,0.0024428469151364343,1
>50K,>50K,0.30897160905885485,0.6910283909411451,1
>50K,<=50K,0.9542396337179444,0.04576036628205555,0
<=50K,<=50K,0.8416753364249874,0.15832466357501257,1
>50K,>50K,0.025166964748159888,0.9748330352518401,1
>50K,>50K,0.4193934130220767,0.5806065869779232,1
<=50K,<=50K,0.9985508492786154,0.001449150721384611,1
<=50K,<=50K,0.9771638978309514,0.02283610216904849,1
<=50K,<=50K,0.9999882138813252,1.1786118674862021e-05,1
<=50K,<=50K,0.99773001586433,0.002269984135670035,1
<=50K,<=50K,0.5861326293111255,0.4138673706888745,1
>50K,>50K,0.20561054545612795,0.7943894545438721,1
<=50K,<=50K,0.8049324537389729,0.19506754626102707,1
<=50K,<=50K,0.9959428795555733,0.004057120444426739,1
<=50K,<=50K,0.9997120908738131,0.0002879091261868358,1
<=50K,<=50K,0.9925200059533997,0.007479994046600281,1
<=50K,<=50K,0.6186420738671156,0.3813579261328844,1
<=50K,<=50K,0.9985059419831718,0.0014940580168281718,1
<=50K,<=50K,0.9990983496199004,0.0009016503800996055,1
<=50K,<=50K,0.9690569511124729,0.030943048887527,1
<=50K,>50K,0.40679798536788053,0.5932020146321194,0
<=50K,<=50K,0.9997146912121142,0.0002853087878858244,1
>50K,<=50K,0.9177946771581516,0.08220532284184841,0
<=50K,<=50K,0.51623038288443,0.48376961711557004,1
>50K,>50K,0.42512809264143797,0.574871907358562,1
<=50K,<=50K,0.9989444914187388,0.0010555085812611708,1
<=50K,<=50K,0.9723388335454172,0.027661166454582747,1
<=50K,<=50K,0.8846565744608773,0.11534342553912258,1
<=50K,<=50K,0.9998832787506499,0.00011672124935013799,1
<=50K,<=50K,0.5424474480957431,0.45755255190425687,1
<=50K,<=50K,0.997475658240462,0.0025243417595379376,1
<=50K,<=50K,0.9998410223806283,0.0001589776193717118,1
<=50K,>50K,0.4682024286299041,0.5317975713700959,0
<=50K,<=50K,0.9697067698081775,0.03029323019182258,1
>50K,<=50K,0.6045806896072444,0.39541931039275546,0
<=50K,>50K,0.48041339491918855,0.5195866050808114,0
<=50K,<=50K,0.9999972224351008,2.777564899318577e-06,1
>50K,>50K,0.233846812271124,0.766153187728876,1
<=50K,<=50K,0.9940717489955935,0.005928251004406646,1
<=50K,<=50K,0.970494034644105,0.029505965355895128,1
<=50K,<=50K,0.9889800565183399,0.011019943481659989,1
<=50K,>50K,0.19225447941169346,0.8077455205883066,0
<=50K,<=50K,0.9928175402606082,0.007182459739391784,1
<=50K,<=50K,0.9917752764417018,0.008224723558298234,1
<=50K,<=50K,0.7728319239432521,0.22716807605674788,1
<=50K,>50K,0.2567793855726204,0.7432206144273796,0
<=50K,<=50K,0.9608998445795672,0.03910015542043283,1
>50K,>50K,0.021076919652649552,0.9789230803473504,1
<=50K,<=50K,0.9936427068611664,0.006357293138833615,1
<=50K,>50K,0.36414297558210784,0.6358570244178922,0
<=50K,<=50K,0.9998173196050821,0.00018268039491780764,1
>50K,>50K,0.359507428856408,0.640492571143592,1
>50K,>50K,0.4506398164439326,0.5493601835560674,1
<=50K,<=50K,0.9999311661864783,6.883381352180768e-05,1
<=50K,<=50K,0.9892348077787977,0.010765192221202338,1
<=50K,<=50K,0.9996571655982374,0.000342834401762574,1
>50K,>50K,0.034513941901719365,0.9654860580982807,1
<=50K,>50K,0.04184823415168183,0.9581517658483181,0
>50K,>50K,0.009104138508465589,0.9908958614915344,1
<=50K,<=50K,0.7361011037584302,0.2638988962415698,1
<=50K,<=50K,0.9992202331376678,0.0007797668623322154,1
<=50K,>50K,0.15171374276234195,0.848286257237658,0
<=50K,<=50K,0.9999863911724345,1.3608827565565796e-05,1
<=50K,>50K,0.23674503345322107,0.7632549665467789,0
<=50K,<=50K,0.9973044678445274,0.0026955321554726374,1
<=50K,<=50K,0.9999190438948095,8.095610519057491e-05,1
<=50K,<=50K,0.9913175869390742,0.008682413060925842,1
<=50K,<=50K,0.9990428803291078,0.0009571196708922078,1
<=50K,>50K,0.18669122005331043,0.8133087799466896,0
>50K,>50K,0.09013816551901316,0.9098618344809869,1
<=50K,<=50K,0.9900548857049373,0.009945114295062667,1
<=50K,<=50K,0.9863840864477256,0.013615913552274359,1
>50K,<=50K,0.6273366002406231,0.37266339975937696,0
<=50K,<=50K,0.9735024333839563,0.02649756661604366,1
<=50K,<=50K,0.9981079015301025,0.0018920984698973808,1
<=50K,<=50K,0.9959660140110663,0.004033985988933685,1
>50K,<=50K,0.9625357496367483,0.03746425036325173,0
>50K,<=50K,0.9623585501757969,0.03764144982420315,0
>50K,>50K,0.029287997387983773,0.9707120026120163,1
<=50K,<=50K,0.9999738238329576,2.6176167042284395e-05,1
<=50K,<=50K,0.9939686074149088,0.006031392585091161,1
<=50K,<=50K,0.9997287140569974,0.0002712859430024973,1
<=50K,<=50K,0.9726895625257794,0.027310437474220534,1
<=50K,>50K,0.02338446359194318,0.9766155364080569,0
<=50K,<=50K,0.9997911602061891,0.00020883979381101892,1
<=50K,<=50K,0.9908274094029087,0.009172590597091343,1
<=50K,<=50K,0.99566995240251,0.004330047597490061,1
<=50K,<=50K,0.8624576250658692,0.13754237493413085,1
<=50K,<=50K,0.9999416174874692,5.8382512530806774e-05,1
<=50K,<=50K,0.7703834755566015,0.22961652444339842,1
<=50K,<=50K,0.9941381094182086,0.005861890581791366,1
<=50K,<=50K,0.9824672050002667,0.017532794999733252,1
<=50K,<=50K,0.9995020584068635,0.000497941593136511,1
<=50K,<=50K,0.9999216599687797,7.83400312202199e-05,1
<=50K,<=50K,0.9999776788062846,2.2321193715385958e-05,1
<=50K,<=50K,0.9986670325356821,0.001332967464317983,1
<=50K,<=50K,0.997990626494879,0.0020093735051210254,1
<=50K,>50K,0.09283949118050516,0.9071605088194948,0
>50K,<=50K,0.6366620275158471,0.36333797248415295,0
<=50K,<=50K,0.9907555145837619,0.009244485416238075,1
<=50K,<=50K,0.7435445578220132,0.2564554421779868,1
>50K,>50K,0.015177390079728481,0.9848226099202714,1
<=50K,<=50K,0.9999249051401268,7.509485987325417e-05,1
<=50K,<=50K,0.958829243477088,0.04117075652291195,1
>50K,>50K,0.10982003423047976,0.8901799657695203,1
<=50K,<=50K,0.9972107441606806,0.002789255839319356,1
<=50K,<=50K,0.9970006344032651,0.002999365596734885,1
>50K,>50K,0.06074564041894109,0.9392543595810589,1
<=50K,<=50K,0.9845817213255862,0.01541827867441386,1
<=50K,>50K,0.43081750151806736,0.5691824984819326,0
<=50K,<=50K,0.9763082597971331,0.023691740202866803,1
<=50K,<=50K,0.9995017008292296,0.0004982991707704635,1
<=50K,>50K,0.14190643834991032,0.8580935616500895,0
>50K,>50K,0.14892561935106527,0.8510743806489347,1
>50K,>50K,0.48225489117648573,0.5177451088235143,1
<=50K,<=50K,0.9983496129162993,0.0016503870837005787,1
>50K,<=50K,0.7885976928436944,0.21140230715630562,0
<=50K,<=50K,0.999146305146208,0.0008536948537921092,1
<=50K,<=50K,0.9994861516185408,0.000513848381459209,1
<=50K,>50K,0.23599931856647355,0.7640006814335264,0
<=50K,<=50K,0.9994514459770576,0.000548554022942344,1
<=50K,<=50K,0.9998015273266779,0.00019847267332209883,1
<=50K,<=50K,0.9978542256034393,0.0021457743965607014,1
<=50K,<=50K,0.9999339567634209,6.604323657912645e-05,1
>50K,>50K,0.12994086951984848,0.8700591304801516,1
>50K,>50K,0.018281080639414523,0.9817189193605855,1
<=50K,<=50K,0.9989925249359336,0.001007475064066287,1
<=50K,<=50K,0.9959705308500955,0.004029469149904584,1
<=50K,<=50K,0.9807430998095386,0.019256900190461463,1
<=50K,<=50K,0.9447779971670298,0.0552220028329701,1
>50K,<=50K,0.8691872304308408,0.1308127695691593,0
>50K,>50K,0.016198282887049782,0.9838017171129502,1
<=50K,<=50K,0.9998618091376686,0.00013819086233131365,1
<=50K,<=50K,0.9319936307657659,0.06800636923423399,1
<=50K,<=50K,0.9884755067046996,0.011524493295300258,1
<=50K,>50K,0.27159378655128424,0.7284062134487157,0
>50K,>50K,0.010424693934561946,0.9895753060654381,1
<=50K,<=50K,0.9489077023235507,0.05109229767644942,1
>50K,>50K,0.015732605740657254,0.9842673942593428,1
<=50K,<=50K,0.9902089091483866,0.009791090851613522,1
<=50K,<=50K,0.9501757701121788,0.049824229887821266,1
<=50K,<=50K,0.9999425881566315,5.741184336843159e-05,1
<=50K,<=50K,0.9997001637932009,0.0002998362067991388,1
<=50K,<=50K,0.9965840865052423,0.0034159134947576637,1
>50K,>50K,0.20536755996827705,0.7946324400317231,1
<=50K,<=50K,0.9771598667702633,0.02284013322973654,1
<=50K,<=50K,0.9888293675834273,0.011170632416572597,1
<=50K,>50K,0.16420142170655186,0.8357985782934481,0
<=50K,<=50K,0.992036497372797,0.00796350262720316,1
<=50K,<=50K,0.9975978905031468,0.0024021094968531332,1
<=50K,<=50K,0.9949836149999057,0.0050163850000941946,1
<=50K,>50K,0.37846389051148155,0.6215361094885186,0
<=50K,<=50K,0.9979380485235597,0.002061951476440214,1
<=50K,<=50K,0.9991570209517936,0.0008429790482064762,1
<=50K,<=50K,0.9999993606554114,6.393445886805889e-07,1
<=50K,>50K,0.015757975648858658,0.9842420243511413,0
<=50K,>50K,0.04646827578744732,0.9535317242125527,0
<=50K,>50K,0.2384307174438063,0.7615692825561937,0
>50K,>50K,0.3736953366350475,0.6263046633649524,1
<=50K,<=50K,0.9999178649776015,8.213502239848598e-05,1
<=50K,>50K,0.2410238996680176,0.7589761003319825,0
<=50K,>50K,0.056858718899036056,0.9431412811009641,0
>50K,>50K,0.14250441110730516,0.857495588892695,1
>50K,>50K,0.16040357169274821,0.8395964283072519,1
<=50K,<=50K,0.9999305912133603,6.94087866398109e-05,1
>50K,>50K,0.25239053600914785,0.7476094639908522,1
<=50K,>50K,0.3247407819871067,0.6752592180128933,0
<=50K,<=50K,0.9886423702531526,0.011357629746847366,1
<=50K,<=50K,0.9999815921529783,1.8407847021616615e-05,1
<=50K,<=50K,0.99998591731934,1.4082680660029831e-05,1
<=50K,>50K,0.4640566856123136,0.5359433143876864,0
<=50K,<=50K,0.9999181787834659,8.182121653414593e-05,1
<=50K,>50K,0.03148046259176968,0.9685195374082304,0
<=50K,<=50K,0.996889488654489,0.003110511345510952,1
<=50K,<=50K,0.9972873859490998,0.0027126140509001156,1
>50K,>50K,0.042502937851793696,0.9574970621482063,1
>50K,<=50K,0.6225766209149107,0.3774233790850893,0
<=50K,>50K,0.3938282138884781,0.6061717861115219,0
<=50K,<=50K,0.9046245079889528,0.09537549201104722,1
<=50K,<=50K,0.7282069593950161,0.2717930406049839,1
<=50K,<=50K,0.9948057933145529,0.00519420668544721,1
<=50K,<=50K,0.9999231193026614,7.68806973385768e-05,1
<=50K,<=50K,0.9978823171009982,0.002117682899001749,1
<=50K,<=50K,0.9651441183050931,0.03485588169490687,1
<=50K,<=50K,0.9784197516071028,0.021580248392897097,1
<=50K,<=50K,0.9464718204550419,0.05352817954495828,1
<=50K,>50K,0.2974658434888426,0.7025341565111574,0
>50K,>50K,0.0019264505372376872,0.9980735494627623,1
>50K,>50K,0.15148877562955368,0.8485112243704463,1
<=50K,<=50K,0.997434942667828,0.0025650573321721543,1
>50K,>50K,0.0970149697127839,0.9029850302872161,1
>50K,>50K,0.24992706643228524,0.7500729335677149,1
<=50K,<=50K,0.9986604008290954,0.0013395991709046265,1
<=50K,<=50K,0.9476117609048277,0.052388239095172304,1
>50K,>50K,0.31898849832588005,0.68101150167412,1
>50K,>50K,0.030142540232241836,0.9698574597677582,1
<=50K,>50K,0.43967866298498176,0.5603213370150183,0
<=50K,<=50K,0.5960110680518761,0.40398893194812385,1
<=50K,<=50K,0.8422899956746656,0.15771000432533447,1
>50K,>50K,0.3094602380989347,0.6905397619010653,1
<=50K,<=50K,0.702406752430009,0.29759324756999106,1
<=50K,<=50K,0.9064112822008279,0.09358871779917208,1
<=50K,<=50K,0.9939839997749738,0.006016000225026245,1
<=50K,<=50K,0.9834476268794855,0.016552373120514465,1
>50K,>50K,0.22864549580440188,0.7713545041955981,1
<=50K,<=50K,0.9988367580399806,0.0011632419600195246,1
<=50K,<=50K,0.9602357005393639,0.03976429946063611,1
>50K,>50K,0.1435014281815762,0.8564985718184239,1
<=50K,<=50K,0.9290913250153504,0.07090867498464958,1
<=50K,<=50K,0.999987719380394,1.228061960611231e-05,1
<=50K,<=50K,0.9996027047104047,0.0003972952895953498,1
>50K,>50K,0.07433963862031574,0.9256603613796842,1
<=50K,>50K,0.3128198504029868,0.6871801495970132,0
<=50K,<=50K,0.9993541848121811,0.0006458151878188722,1
>50K,>50K,0.11229898580146004,0.88770101419854,1
<=50K,>50K,0.03699074206340523,0.9630092579365948,0
<=50K,>50K,0.2780519574149297,0.7219480425850702,0
<=50K,>50K,0.47971431155069694,0.5202856884493031,0
<=50K,<=50K,0.9998229449173447,0.00017705508265523147,1
<=50K,<=50K,0.9788554714067943,0.0211445285932056,1
<=50K,<=50K,0.9977531353220808,0.002246864677919238,1
<=50K,<=50K,0.9979006484328754,0.0020993515671245966,1
<=50K,>50K,0.4782071470891275,0.5217928529108725,0
<=50K,<=50K,0.9995862560259423,0.00041374397405776424,1
<=50K,<=50K,0.9996649639843689,0.00033503601563121305,1
<=50K,<=50K,0.5816786459719403,0.4183213540280596,1
<=50K,<=50K,0.9866902749752907,0.013309725024709321,1
<=50K,<=50K,0.9279064691507037,0.07209353084929622,1
>50K,>50K,0.03162455271947486,0.968375447280525,1
>50K,>50K,0.24069298022481841,0.7593070197751817,1
>50K,>50K,0.0924660930376757,0.9075339069623244,1
>50K,>50K,0.4399835027195011,0.5600164972804988,1
<=50K,>50K,0.3672809670343039,0.632719032965696,0
>50K,>50K,0.0042545905010401225,0.9957454094989598,1
<=50K,<=50K,0.9979318421304603,0.0020681578695397372,1
<=50K,<=50K,0.9999245388405588,7.546115944124486e-05,1
<=50K,<=50K,0.99990801099446,9.198900553993868e-05,1
>50K,>50K,0.1784090490307227,0.8215909509692773,1
>50K,>50K,0.26222461673652486,0.7377753832634751,1
<=50K,<=50K,0.9999628475024513,3.715249754875097e-05,1
>50K,>50K,0.026773980611227627,0.9732260193887725,1
<=50K,<=50K,0.9860759754468507,0.01392402455314948,1
<=50K,<=50K,0.9657379426764824,0.034262057323517475,1
<=50K,<=50K,0.7675914009576303,0.23240859904236968,1
<=50K,<=50K,0.9994513001787786,0.000548699821221504,1
<=50K,<=50K,0.9252885305353876,0.07471146946461249,1
<=50K,<=50K,0.9961893384017944,0.003810661598205749,1
>50K,>50K,0.0314166041013823,0.9685833958986176,1
<=50K,<=50K,0.9284333817710809,0.07156661822891904,1
<=50K,<=50K,0.9473192549188448,0.05268074508115529,1
<=50K,<=50K,0.9998940361233961,0.00010596387660389894,1
<=50K,<=50K,0.9989036334476538,0.0010963665523462153,1
>50K,>50K,0.3272841235728966,0.6727158764271034,1
<=50K,<=50K,0.990147033297939,0.009852966702061119,1
<=50K,<=50K,0.9999146784321459,8.532156785414533e-05,1
<=50K,<=50K,0.9987843317400618,0.0012156682599381732,1
<=50K,>50K,0.3960097252358884,0.6039902747641116,0
>50K,>50K,0.1979412902648359,0.8020587097351641,1
<=50K,<=50K,0.9999383231890876,6.167681091249382e-05,1
<=50K,<=50K,0.9073796586375193,0.0926203413624807,1
<=50K,>50K,0.11426589010634795,0.885734109893652,0
<=50K,<=50K,0.9853658942238923,0.014634105776107641,1
>50K,>50K,0.026550191994968424,0.9734498080050317,1
>50K,>50K,0.04062472808626422,0.9593752719137357,1
<=50K,<=50K,0.9945870252471503,0.005412974752849742,1
>50K,>50K,0.018444385633752336,0.9815556143662477,1
<=50K,<=50K,0.6237107182679088,0.37628928173209114,1
<=50K,<=50K,0.6704119521688969,0.3295880478311031,1
>50K,<=50K,0.995472664028038,0.0045273359719618655,0
<=50K,<=50K,0.9998738482219354,0.00012615177806463555,1
<=50K,<=50K,0.9993502272262023,0.0006497727737975974,1
<=50K,<=50K,0.9998004517912988,0.0001995482087011188,1
<=50K,>50K,0.14461006894165318,0.8553899310583468,0
<=50K,>50K,0.4363348097017465,0.5636651902982535,0
<=50K,<=50K,0.9983748652382444,0.0016251347617555903,1
<=50K,<=50K,0.9999342066938756,6.579330612442835e-05,1
>50K,>50K,0.46082440065231006,0.5391755993476899,1
<=50K,<=50K,0.9957802140298998,0.00421978597010017,1
<=50K,<=50K,0.9927202410138307,0.00727975898616924,1
<=50K,<=50K,0.9999226636014378,7.733639856216471e-05,1
<=50K,<=50K,0.9959096678628181,0.004090332137181819,1
<=50K,<=50K,0.9999551763972994,4.482360270073542e-05,1
<=50K,<=50K,0.8131516415732886,0.1868483584267115,1
<=50K,<=50K,0.9999186162296215,8.138377037847269e-05,1
<=50K,<=50K,0.7128602845550333,0.28713971544496675,1
<=50K,<=50K,0.99946752742786,0.0005324725721400241,1
>50K,>50K,0.01479734902568909,0.9852026509743109,1
<=50K,<=50K,0.9628796310872014,0.037120368912798594,1
<=50K,<=50K,0.9999093302624263,9.066973757362606e-05,1
<=50K,<=50K,0.9997149384299129,0.0002850615700870246,1
<=50K,<=50K,0.9961034164115944,0.003896583588405542,1
<=50K,<=50K,0.6789567668509785,0.32104323314902156,1
<=50K,>50K,0.18713392584115557,0.8128660741588445,0
<=50K,<=50K,0.8865870891848783,0.11341291081512181,1
>50K,>50K,0.014425074405304914,0.985574925594695,1
<=50K,<=50K,0.9912590194831679,0.008740980516832043,1
<=50K,<=50K,0.9971386710389345,0.0028613289610654852,1
<=50K,<=50K,0.9839721406894594,0.0160278593105407,1
<=50K,<=50K,0.9831094633658016,0.01689053663419824,1
<=50K,<=50K,0.8762165608409762,0.1237834391590237,1
<=50K,<=50K,0.9989537497207068,0.0010462502792931683,1
<=50K,>50K,0.28611187389600556,0.7138881261039944,0
